title,author,rating
참교육,채용택 / 한가람,9.89
어느날 갑자기 가슴이 커짐,JP / 부겸 / 장영훈,9.77
똑 닮은 딸,김두루미 / 티아이 / 한중월야,9.98
환생천마,황양 / 이대한,9.95
신의 탑,"박만사, 유누니 / 박만사, 태완",9.84
윈드브레이커,JP / 윤승기 / 청시소,9.84
절대검감,스윙뱃 / 커피라임,9.95
귀촌리,매미 / 희세,9.95
퀘스트지상주의,"황지성 / 스튜디오MW, 김성은 / 이블라인",9.50
수상한 다이어트 클럽,DD / 송지형 / 로드워리어,9.92
별난식당,강문송 / 1172,9.96
우아한 욕망,"성불예정, 준1 / 미노",9.91
시한부 천재가 살아남는 법,스튜디오MW / 김가든 / 곰돌이는,9.95
회귀한 공작가의 막내도련님은 암살자,진자 / 정생,9.92
팔이피플,지대공마법소년 / 크라켄 / 에르훗,9.95
천재 타자가 강속구를 숨김,"신신성, MAJOR / 신신성",9.91
"정신 차려, 전승연","달아 / 아쿠아콘, 경우 / 박스오피스",9.70
토마토가 돼라!,ANGELA / p.P / 김호연,9.98
아포칼립스에 집을 숨김,LICO / 한경찬,9.78
무벌전,류호 / 양담 / 황도톨,9.91
2024 루키 단편선,이경민 / 송준혁,9.85
잔불의 기사,"박만사, 백두 / 백승훈, 백두",9.96
학식의 꿈,"박수봉, 김장훈 / 박수봉",9.98
잘 헤어지는 방법,김대일 / 이상혁,9.92
만렙돌파,레포 / 세혼 / 인덱스,9.44
중세 판타지 속 망나니 경비조장,"김남규 / 애풍, 아쿠아콘",9.95
모솔대첩,산하 / 김대영 / 녹색여우,9.53
파브르 in 사천당가,S-Nanyc / 호라칸 / 체나,9.93
벤타블랙,LICO / 꿀밤비,9.74
좀비묵시록 82-08,LICO / 사야,9.81
히어로메이커,네온비 / 장구,9.93
불편한 편의점,랍스타 / 이루이,9.96
개같이 탈출,나락 / 영기,9.95
폭력의 왕,아린 / 류화 / 유세라,9.81
구야는 신입, 카이루니사 / VBi / 체리고,9.92
피폐물을 힐링물로 만드는 방법,필나르 / 춘삼 / 점도리,9.97
우리 안 사귀어!!,멍뭉 / 햄친 / 로즈빈,9.69
진주,신의철 / 스릴,9.89
더블클릭,박장고 / 이우,9.94
마왕을 그만둔 이유,혜림 / 댄킴,9.82
리턴 투 플레이어,둥치 / Akaogi Seki,9.93
제왕,이순기 / 이예린,9.92
위험하지 않아요 NPC씨,삵 / 쏘가리 / 임하얌,9.96
우주천마 3077,김충전 / 일공팔,9.48
미친 재능의 플레이어,랑쓰 / 승9,9.82
K학원 생존기,알깨 / 새몽,9.95
황후의 짐승간택,유삼 / 창대 / 숙임,9.84
인섹터,사이렌 / 서클,9.95
막장 악녀,Aria / 오이드럼 / 먕먕녕녕,9.96
타이탄,"ARC, Ubisoft, YEON / Tabii",9.61
시한부의 아이까지 뺏으려 합니다,해람 / 홍이,9.82
헬크래프트,다드래기 / 노리 / 김연우,9.90
소녀의 세계,나는야사과될거야 / 쿠키빵,9.92
기생몽,최아서 / 꿍베,9.75
보스리턴,"광산, MAJOR",9.89
함부로 친절하지 말라,LICO / 한빈 / 비첼,9.97
꿈의 기업,"아지 / 아츠시, Perlacot",9.97
